order,video_id,topic_category,hook_type,pacing_speed,duration_sec,views,likes,shares,comments,saves,engagement_rate_pct,title,url
321,"7260349234627497223","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Nasi goreng kampung extra pedas, extra belacan dan extra kick. Berair mata makan ni tapi sedap 😭 #makanlokal #foodfestontiktok #FoodTok  created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7260349234627497223"
322,"7259230515163712770","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Ayam Kewpie campur Sambal Nyet. Combination yang sangat sedap dan kick. Korang boleh try, simple je guna air fryer 😁 #makanlokal #sambalnyet  created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7259230515163712770"
323,"7257753512434601217","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Dari pagi sampai malam tak berhenti makan dekat Hat Yai ni. Sedap and murah makanan kat sana 😭😭 Siapa sini dah pernah pergi? cuba share tempat favourite korang #CutiCutiTikTok #makanlokal #foodfestontiktok  created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7257753512434601217"
324,"7249593426067442945","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Jom buat Sup Tulang untuk raya haji ni. Pedas, pekat, masam memang kicak rasa dia! 🥹 #foodfestontiktok #makanlokal  created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7249593426067442945"
325,"7246617649092824321","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Maggi Goreng Pedas campur dengan Sambal Nyet. Memang berapi! Jangan lupa dapatkan Sambal Nyet dekat bag kuning okeh 😁 #foodfestontiktok #makanlokal #sambalnyet  created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7246617649092824321"
326,"7235606697669086466","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Kita tutup kilang Sambal Nyet selama 5 hari untuk bawa kesemua 60 staff bercuti di Langkawi. Kita sediakan hotel 5 bintang, jetski, explore cave, snorkelling, private yacht untuk tgk sunset & duit belanja untuk diaorang shopping. Alhamdulillah semua staff happy ✨🥹 created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7235606697669086466"
327,"7234314351929216257","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"#duet with @Gordon Ramsay #Duet haaaaa Gordon Ramsay noticed my video. Thank you! 🥹 created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7234314351929216257"
328,"7229673729918307589","BEHIND_THE_SCENES_BISNES","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Burnt Sugar Steamed Pudding. This recipe is taken from Uncharted cook book by Gordon Ramsay @Gordon Ramsay . The pudding tastes really gooood 🥹 Please give it a try! #uncharteredcookbook #FoodTok #MakanLokal  created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7229673729918307589"
329,"7224625098592898309","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Siapa sini nak datang beraya rumah minmin? 🤣 #InspirasiRaya  created by Khairulaming with MAZRO AKHIRO’s Suasana Hari Raya (COVER)","https://www.tiktok.com/@khairulaming/video/7224625098592898309"
330,"7224392737813040390","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Video Terakhir 30 Hari 30 Resepi. Terima kasih kepada semua yang sudi menonton. Tahun ni antara tahun yang paling meriah sepanjang 6 tahun kita buat content puasa ni. Kami undur diri dahulu, ada rezeki kita jumpa lagi tahun hadapan. Selamat hari raya guys, maaf zahir dan batin!🥺 #inspirasiramadan #bukapuasa  created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7224392737813040390"
